uid,sentence
2,"Iron, coal, and cotton are three industries which appear in both the original Brass as well as in Brass: Birmingham."
2,"New ""Sell"" system
Brewing has become a fundamental part of the culture in Birmingham."
2,You must now sell your product through traders located around the edges of the board.
2,Each of these traders is looking for a specific type of good each game.
2,"To sell cotton, pottery, or manufactured goods to these traders, you must also ""grease the wheels of industry"" by consuming beer."
2,"For example, a level 1 cotton mill requires one beer to flip."
2,"As an incentive to sell early, the first player to sell to a trader receives free beer."
2,"Birmingham features three all-new industry types:
Brewery - Produces precious beer barrels required to sell goods."
2,"Manufactured goods - Function like cotton, but features eight levels."
2,"Each level of manufactured goods provides unique rewards, rather than just escalating in VPs, making it a more versatile (yet potentially more difficult) path vs cotton."
2,"Pottery - These behemoths of Birmingham offer huge VPs, but at a huge cost and need to plan."
2,"Increased Coal and Iron Market size - The price of coal and iron can now go up to £8 per cube, and it's not uncommon."
2,Brass: Birmingham is a sequel to Brass.
2,It offers a very different story arc and experience from its predecessor.
3,Gloomhaven: Jaws of the Lion is a standalone game that takes place before the events of Gloomhaven.
3,"The game includes four new characters — Valrath Red Guard (tank, crowd control), Inox Hatchet (ranged damage), Human Voidwarden (support, mind-control), and Quatryl Demolitionist (melee damage, obstacle manipulation) — that can also be used in the original Gloomhaven game."
3,The game also includes 16 monster types (including seven new standard monsters and three new bosses) and a new campaign with 25 scenarios that invites the heroes to investigate a case of mysterious disappearances within the city.
3,"Is it the work of Vermlings, or is something far more sinister going on?"
3,Gloomhaven: Jaws of the Lion is aimed at a more casual audience to get people into the gameplay more quickly.
3,"All of the hard-to-organize cardboard map tiles have been removed, and instead players will play on the scenario book itself, which features new artwork unique to each scenario."
3,"The last barrier to entry — i.e., learning the game — has also been lowered through a simplified rule set and a five-scenario tutorial that will ease new players into the experience."
4,"In the 2400s, mankind begins to terraform the planet Mars."
4,"Giant corporations, sponsored by the World Government on Earth, initiate huge projects to raise the temperature, the oxygen level, and the ocean coverage until the environment is habitable."
4,"In Terraforming Mars, you play one of those corporations and work together in the terraforming process, but compete for getting victory points that are awarded not only for your contribution to the terraforming, but also for advancing human infrastructure throughout the solar system, and doing other commendable things."
4,The players acquire unique project cards (from over two hundred different ones) by buying them to their hand.
4,"The projects (cards) can represent anything from introducing plant life or animals, hurling asteroids at the surface, building cities, to mining the moons of Jupiter and establishing greenhouse gas industries to heat up the atmosphere."
4,"The cards can give you immediate bonuses, as well as increasing your production of different resources."
4,"Many cards also have requirements and they become playable when the temperature, oxygen, or ocean coverage increases enough."
4,"Buying cards is costly, so there is a balance between buying cards (3 megacredits per card) and actually playing them (which can cost anything between 0 to 41 megacredits, depending on the project)."
4,Standard Projects are always available to complement your cards.
4,"Your basic income, as well as your basic score, is based on your Terraform Rating (starting at 20), which increases every time you raise one of the three global parameters."
4,"However, your income is complemented with your production, and you also get VPs from many other sources."
4,"Each player keeps track of their production and resources on their player boards, and the game uses six types of resources: MegaCredits, Steel, Titanium, Plants, Energy, and Heat."
4,"On the game board, you compete for the best places for your city tiles, ocean tiles, and greenery tiles."
4,You also compete for different Milestones and Awards worth many VPs.
4,"Each round is called a generation (guess why) and consists of the following phases:
1) Player order shifts clockwise."
4,2) Research phase: All players buy cards from four privately drawn.
4,"3) Action phase: Players take turns doing 1-2 actions from these options: Playing a card, claiming a Milestone, funding an Award, using a Standard project, converting plant into greenery tiles (and raising oxygen), converting heat into a temperature raise, and using the action of a card in play."
4,The turn continues around the table (sometimes several laps) until all players have passed.
4,4) Production phase: Players get resources according to their terraform rating and production parameters.
4,"When the three global parameters (temperature, oxygen, ocean) have all reached their goal, the terraforming is complete, and the game ends after that generation."
4,Count your Terraform Rating and other VPs to determine the winning corporation!
5,"Twilight Imperium (Fourth Edition) is a game of galactic conquest in which three to six players take on the role of one of seventeen factions vying for galactic domination through military might, political maneuvering, and economic bargaining."
5,"Every faction offers a completely different play experience, from the wormhole-hopping Ghosts of Creuss to the Emirates of Hacan, masters of trade and economics."
5,"These seventeen races are offered many paths to victory, but only one may sit upon the throne of Mecatol Rex as the new masters of the galaxy."
5,No two games of Twilight Imperium are ever identical.
5,"At the start of each galactic age, the game board is uniquely and strategically constructed using 51 galaxy tiles that feature everything from lush new planets and supernovas to asteroid fields and gravity rifts."
5,"Players are dealt a hand of these tiles and take turns creating the galaxy around Mecatol Rex, the capital planet seated in the center of the board."
5,An ion storm may block your race from progressing through the galaxy while a fortuitously placed gravity rift may protect you from your closest foes.
5,The galaxy is yours to both craft and dominate.
5,A round of Twilight Imperium begins with players selecting one of eight strategy cards that both determine player order and give their owner a unique strategic action for that round.
5,These may do anything from providing additional command tokens to allowing a player to control trade throughout the galaxy.
5,"After these roles are selected, players take turns moving their fleets from system to system, claiming new planets for their empire, and engaging in warfare and trade with other factions."
5,"At the end of a turn, players gather in a grand council to pass new laws and agendas, shaking up the game in unpredictable ways."
5,"After every player has passed their turn, players move up the victory track by checking to see whether they have completed any objectives throughout the turn and scoring them."
5,"Objectives are determined by setting up ten public objective cards at the start of each game, then gradually revealing them with every round."
5,"Every player also chooses between two random secret objectives at the start of the game, providing victory points achievable only by the holder of that objective."
5,These objectives can be anything from researching new technologies to taking your neighbor's home system.
5,"At the end of every turn, a player can claim one public objective and one secret objective."
5,"As play continues, more of these objectives are revealed and more secret objectives are dealt out, giving players dynamically changing goals throughout the game."
5,Play continues until a player reaches ten victory points.
5,—description from the publisher
6,"In Ark Nova, you will plan and design a modern, scientifically managed zoo."
6,"With the ultimate goal of owning the most successful zoological establishment, you will build enclosures, accommodate animals, and support conservation projects all over the world."
6,Specialists and unique buildings will help you in achieving this goal.
6,"Each player has a set of five action cards to manage their gameplay, and the power of an action is determined by the slot the card currently occupies."
6,"The cards in question are:

CARDS: Allows you to gain new zoo cards (animals, sponsors, and conservation project cards)."
6,"BUILD: Allows you to build standard or special enclosures, kiosks, and pavilions."
6,ANIMALS: Allows you to accommodate animals in your zoo.
6,ASSOCIATION: Allows your association workers to carry out different tasks.
6,SPONSORS: Allows you to play a sponsor card in your zoo or to raise money.
6,"255 cards featuring animals, specialists, special enclosures, and conservation projects, each with a special ability, are at the heart of Ark Nova."
6,Use them to increase the appeal and scientific reputation of your zoo and collect conservation points.
6,—description from the publisher
7,Star Wars: Rebellion is a board game of epic conflict between the Galactic Empire and Rebel Alliance for two to four players.
7,Experience the Galactic Civil War like never before.
7,"In Rebellion, you control the entire Galactic Empire or the fledgling Rebel Alliance."
7,"You must command starships, account for troop movements, and rally systems to your cause."
7,"Given the differences between the Empire and Rebel Alliance, each side has different win conditions, and you'll need to adjust your play style depending on who you represent:

 As the Imperial player, you can command legions of Stormtroopers, swarms of TIEs, Star Destroyers, and even the Death Star."
7,"You rule the galaxy by fear, relying on the power of your massive military to enforce your will."
7,"To win the game, you need to snuff out the budding Rebel Alliance by finding its base and obliterating it."
7,"Along the way, you can subjugate worlds or even destroy them."
7,"As the Rebel player, you can command dozens of troopers, T-47 airspeeders, Corellian corvettes, and fighter squadrons."
7,"However, these forces are no match for the Imperial military."
7,"In terms of raw strength, you'll find yourself clearly overmatched from the very outset, so you'll need to rally the planets to join your cause and execute targeted military strikes to sabotage Imperial build yards and steal valuable intelligence."
7,"To win the Galactic Civil War, you'll need to sway the galaxy's citizens to your cause."
7,"If you survive long enough and strengthen your reputation, you inspire the galaxy to a full-scale revolt, and you win."
7,"Featuring more than 150 plastic miniatures and two game boards that account for thirty-two of the Star Wars galaxy's most notable systems, Rebellion features a scope that is as large and sweeping as any Star Wars game before it."
7,"Yet for all its grandiosity, Rebellion remains intensely personal, cinematic, and heroic."
7,"As much as your success depends upon the strength of your starships, vehicles, and troops, it depends upon the individual efforts of such notable characters as Leia Organa, Mon Mothma, Grand Moff Tarkin, and Emperor Palpatine."
7,"As civil war spreads throughout the galaxy, these leaders are invaluable to your efforts, and the secret missions they attempt will evoke many of the most inspiring moments from the classic trilogy."
7,You might send Luke Skywalker to receive Jedi training on Dagobah or have Darth Vader spring a trap that freezes Han Solo in carbonite!
8,Gaia Project is a new game in the line of Terra Mystica.
8,"As in the original Terra Mystica, fourteen different factions live on seven different kinds of planets, and each faction is bound to their own home planets, so to develop and grow, they must terraform neighboring planets into their home environments in competition with the other groups."
8,"In addition, Gaia planets can be used by all factions for colonization, and Transdimensional planets can be changed into Gaia planets."
8,"All factions can improve their skills in six different areas of development — Terraforming, Navigation, Artificial Intelligence, Gaiaforming, Economy, Research — leading to advanced technology and special bonuses."
8,"To do all of that, each group has special skills and abilities."
8,"The playing area is made of ten sectors, allowing a variable set-up and thus an even bigger replay value than its predecessor Terra Mystica."
8,A two-player game is hosted on seven sectors.
8,—description from the publisher
9,"In the most distant reaches of the world, magic still exists, embodied by spirits of the land, of the sky, and of every natural thing."
9,"As the great powers of Europe stretch their colonial empires further and further, they will inevitably lay claim to a place where spirits still hold power - and when they do, the land itself will fight back alongside the islanders who live there."
9,Spirit Island is a complex and thematic cooperative game about defending your island home from colonizing Invaders.
9,"Players are different spirits of the land, each with its own unique elemental powers."
9,"Every turn, players simultaneously choose which of their power cards to play, paying energy to do so."
9,Using combinations of power cards that match a spirit's elemental affinities can grant free bonus effects.
9,"Faster powers take effect immediately, before the Invaders spread and ravage, but other magics are slower, requiring forethought and planning to use effectively."
9,"In the Spirit phase, spirits gain energy, and choose how / whether to Grow: to reclaim used power cards, to seek for new power, or to spread presence into new areas of the island."
9,The Invaders expand across the island map in a semi-predictable fashion.
9,"Each turn they explore into some lands (portions of the island); the next turn, they build in those lands, forming settlements and cities."
9,"The turn after that, they ravage there, bringing blight to the land and attacking any native islanders present."
9,"The islanders fight back against the Invaders when attacked, and lend the spirits some other aid, but may not always do so exactly as you'd hoped."
9,"Some Powers work through the islanders, helping them (eg) drive out the Invaders or clean the land of blight."
9,"The game escalates as it progresses: spirits spread their presence to new parts of the island and seek out new and more potent powers, while the Invaders step up their colonization efforts."
9,Each turn represents 1-3 years of alternate-history.
9,"At game start, winning requires destroying every last settlement and city on the board - but as you frighten the Invaders more and more, victory becomes easier: they'll run away even if some number of settlements or cities remain."
9,"Defeat comes if any spirit is destroyed, if the island is overrun by blight, or if the Invader deck is depleted before achieving victory."
9,"The game includes different adversaries to fight against (eg: a Swedish Mining Colony, or a Remote British Colony)."
9,"Each changes play in different ways, and offers a different path of difficulty boosts to keep the game challenging as you gain skill."
10,"In War of the Ring, one player takes control of the Free Peoples (FP), the other player controls Shadow Armies (SA)."
10,"Initially, the Free People Nations are reluctant to take arms against Sauron, so they must be attacked by Sauron or persuaded by Gandalf or other Companions, before they start to fight properly: this is represented by the Political Track, which shows if a Nation is ready to fight in the War of the Ring or not."
10,"The game can be won by a military victory, if Sauron conquers a certain number of Free People cities and strongholds or vice versa."
10,"But the true hope of the Free Peoples lies with the quest of the Ringbearer: while the armies clash across Middle Earth, the Fellowship of the Ring is trying to get secretly to Mount Doom to destroy the One Ring."
10,"Sauron is not aware of the real intention of his enemies but is looking across Middle Earth for the precious Ring, so that the Fellowship is going to face numerous dangers, represented by the rules of The Hunt for the Ring."
10,"But the Companions can spur the Free Peoples to the fight against Sauron, so the Free People player must balance the need to protect the Ringbearer from harm, against the attempt to raise a proper defense against the armies of the Shadow, so that they do not overrun Middle Earth before the Ringbearer completes his quest."
10,Each game turn revolves around the roll of Action Dice: each die corresponds to an action that a player can do during a turn.
10,"Depending on the face rolled on each die, different actions are possible (moving armies, characters, recruiting troops, advancing a Political Track)."
10,Action Dice can also be used to draw or play Event Cards.
10,Event Cards are played to represent specific events from the story (or events that could possibly have happened) that cannot be portrayed through normal game-play.
10,"Each Event Card can also create an unexpected turn in the game, allowing special actions or altering the course of a battle."
11,"Through the Ages: A New Story of Civilization is the new edition of Through the Ages: A Story of Civilization, with many changes small and large to the game's cards over its three ages and extensive changes to how military works."
11,Through the Ages is a civilization building game.
11,"Each player attempts to build the best civilization through careful resource management, discovering new technologies, electing the right leaders, building wonders and maintaining a strong military."
11,Weakness in any area can be exploited by your opponents.
11,The game takes place throughout the ages beginning in the age of antiquity and ending in the modern age.
11,One of the primary mechanisms in TTA is card drafting.
11,"Technologies, wonders, and leaders come into play and become easier to draft the longer they are in play."
11,"In order to use a technology you will need enough science to discover it, enough food to create a population to man it and enough resources (ore) to build the building to use it."
11,While balancing the resources needed to advance your technology you also need to build a military.
11,Military is built in the same way as civilian buildings.
11,Players that have a weak military will be preyed upon by other players.
11,"There is no map in the game so you cannot lose territory, but players with higher military will steal resources, science, kill leaders, take population or culture."
11,"It is very difficult to win with a large military, but it is very easy to lose because of a weak one."
11,Victory is achieved by the player whose nation has the most culture at the end of the modern age.
12,"America in the 19th century: You are a rancher and repeatedly herd your cattle from Texas to Kansas City, where you send them off by train."
12,This earns you money and victory points.
12,"Needless to say, each time you arrive in Kansas City, you want to have your most valuable cattle in tow."
12,"However, the ""Great Western Trail"" not only requires that you keep your herd in good shape, but also that you wisely use the various buildings along the trail."
12,"Also, it might be a good idea to hire capable staff: cowboys to improve your herd, craftsmen to build your very own buildings, or engineers for the important railroad line."
12,"If you cleverly manage your herd and navigate the opportunities and pitfalls of Great Western Trail, you surely will gain the most victory points and win the game."
12,—description from the publisher
13,"""Now the trumpet summons us again, not as a call to bear arms, though arms we need; not as a call to battle, though embattled we are – but a call to bear the burden of a long twilight struggle...""
– John F. Kennedy
In 1945, unlikely allies toppled Hitler's war machine, while humanity's most devastating weapons forced the Japanese Empire to its knees in a storm of fire."
13,"Where once there stood many great powers, there then stood only two."
13,The world had scant months to sigh its collective relief before a new conflict threatened.
13,"Unlike the titanic struggles of the preceding decades, this conflict would be waged not primarily by soldiers and tanks, but by spies and politicians, scientists and intellectuals, artists and traitors."
13,"Twilight Struggle is a two-player game simulating the forty-five year  dance of intrigue, prestige, and occasional flares of warfare between the Soviet Union and the United States."
13,The entire world is the stage on which these two titans fight to make the world safe for their own ideologies and ways of life.
13,"The game begins amidst the ruins of Europe as the two new ""superpowers"" scramble over the wreckage of the Second World War, and ends in 1989, when only the United States remained standing."
13,Twilight Struggle inherits its fundamental systems from the card-driven classics We the People and Hannibal: Rome vs. Carthage.
13,"It is a quick-playing, low-complexity game in that tradition."
13,"The game map is a world map of the period, whereon players move units and exert influence in attempts to gain allies and control for their superpower."
13,"As with GMT's other card-driven games, decision-making is a challenge; how to best use one's cards and units given consistently limited resources?"
13,Twilight Struggle's Event cards add detail and flavor to the game.
13,"They cover a vast array of historical happenings, from the Arab-Israeli conflicts of 1948 and 1967, to Vietnam and the U.S. peace movement, to the Cuban Missile Crisis and other such incidents that brought the world to the brink of nuclear annihilation."
13,"Subsystems capture the prestige-laden Space Race as well as nuclear tensions, with the possibility of game-ending nuclear war."
13,"Components (original edition):

 228 full colour counters 
 22""x34"" full colour map 
 103 event cards 
 2 six-sided dice
 1 24-page rulebook
 2 full colour player aid cards

Components (2009 Deluxe edition and after)

 260 full colour counters 
 22""x34"" mounted map with revised graphics
 110 event cards
 2 six-sided dice
 1 24-page rulebook
 2 full colour player aid cards

TIME SCALE:     approx."
13,"3-5 years per turn
MAP SCALE:     Point-to-point system
UNIT SCALE:     Influence markers
NUMBER OF PLAYERS:     2
DESIGNER: Ananda Gupta & Jason Matthews
MAP, CARD, & COUNTER ART: Mark Simonitch

A deluxe edition, published in 2009 includes the following changes from the basic game:

 Mounted map with revised graphics
 Two double-thick counter sheets with 260 counters
 Deck of 110 event cards (increased from 103)
 Revised rules and player aid cards
 Revised at start setup and text change for card #98 Aldrich Ames


Upgrade kit for the owners of the previous version includes the following:

 Mounted Map with revised graphics
 New card decks
 Updated Rules & Charts"
14,"Some important links: The Official FAQ, the Unofficial FAQ, and an Automa (solo and 2p) Overview
Dune: Imperium is a game that finds inspiration in elements and characters from the Dune legacy, both the new film from Legendary Pictures and the seminal literary series from Frank Herbert, Brian Herbert, and Kevin J. Anderson."
14,"As a leader of one of the Great Houses of the Landsraad, raise your banner and marshal your forces and spies."
14,"War is coming, and at the center of the conflict is Arrakis – Dune, the desert planet."
14,Dune: Imperium uses deck-building to add a hidden-information angle to traditional worker placement.
14,"You start with a unique leader card, as well as a deck identical to those of your opponents."
14,"As you acquire cards and build your deck, your choices will define your strengths and weaknesses."
14,"Cards allow you to send your Agents to certain spaces on the game board, so how your deck evolves affects your strategy."
14,"You might become more powerful militarily, able to deploy more troops than your opponents."
14,"Or you might acquire cards that give you an edge with the four political factions represented in the game: the Emperor, the Spacing Guild, the Bene Gesserit, and the Fremen."
14,"Unlike many deck-building games, you don’t play your entire hand in one turn."
14,"Instead, you draw a hand of cards at the start of every round and alternate with other players, taking one Agent turn at a time (playing one card to send one of your Agents to the game board)."
14,"When it’s your turn and you have no more Agents to place, you’ll take a Reveal turn, revealing the rest of your cards, which will provide Persuasion and Swords."
14,"Persuasion is used to acquire more cards, and Swords help your troops fight for the current round’s rewards as shown on the revealed Conflict card."
14,"Defeat your rivals in combat, shrewdly navigate the political factions, and acquire precious cards."
14,The Spice must flow to lead your House to victory!
15,It is a time of unrest in 1920s Europa.
15,The ashes from the first great war still darken the snow.
15,"The capitalistic city-state known simply as “The Factory”, which fueled the war with heavily armored mechs, has closed its doors, drawing the attention of several nearby countries."
15,Scythe is an engine-building game set in an alternate-history 1920s period.
15,"It is a time of farming and war, broken hearts and rusted gears, innovation and valor."
15,"In Scythe, each player represents a character from one of five factions of Eastern Europe who are attempting to earn their fortune and claim their faction's stake in the land around the mysterious Factory."
15,"Players conquer territory, enlist new recruits, reap resources, gain villagers, build structures, and activate monstrous mechs."
15,"Each player begins the game with different resources (power, coins, combat acumen, and popularity), a different starting location, and a hidden goal."
15,Starting positions are specially calibrated to contribute to each faction’s uniqueness and the asymmetrical nature of the game (each faction always starts in the same place).
15,Scythe gives players almost complete control over their fate.
15,"Other than each player’s individual hidden objective card, the only elements of luck or variability are “encounter” cards that players will draw as they interact with the citizens of newly explored lands."
15,"Each encounter card provides the player with several options, allowing them to mitigate the luck of the draw through their selection."
15,"Combat is also driven by choices, not luck or randomness."
15,Scythe uses a streamlined action-selection mechanism (no rounds or phases) to keep gameplay moving at a brisk pace and reduce downtime between turns.
15,"While there is plenty of direct conflict for players who seek it, there is no player elimination."
15,Every part of Scythe has an aspect of engine-building to it.
15,"Players can upgrade actions to become more efficient, build structures that improve their position on the map, enlist new recruits to enhance character abilities, activate mechs to deter opponents from invading, and expand their borders to reap greater types and quantities of resources."
15,These engine-building aspects create a sense of momentum and progress throughout the game.
15,"The order in which players improve their engine adds to the unique feel of each game, even when playing one faction multiple times."
16,The game is set in the Burgundy region of High Medieval France.
16,"Each player takes on the role of an aristocrat, originally controlling a small princedom."
16,"While playing they aim to build settlements and powerful castles, practice trade along the river, exploit silver mines, and use the knowledge of travelers."
16,The game is about players taking settlement tiles from the game board and placing them into their princedom which is represented by the player board.
16,Every tile has a function that starts when the tile is placed in the princedom.
16,"The princedom itself consists of several regions, each of which demands its own type of settlement tile."
16,"The game is played in five phases, each consisting of five rounds."
16,Each phase begins with the game board stocked with settlement tiles and goods tiles.
16,"At the beginning of each round all players roll their two dice, and the player who is currently first in turn order rolls a goods placement die."
16,A goods tile is made available on the game board according to the roll of the goods die.
16,During each round players take their turns in the current turn order.
16,"During his turn, a player may perform any two of the four possible types of actions: 1) take a settlement tile from the numbered depot on the game board corresponding to one of his dice and place it in the staging area on his player board, 2) take a settlement tile from the staging area of his player board to a space on his player board with a number matching one of his dice in the corresponding region for the type of tile and adjacent to a previously placed settlement tile, 3) deliver goods with a number matching one of his dice, or 4) take worker tokens which allow the player to adjust the roll of his dice."
16,In addition to these actions a player may buy a settlement tile from the central depot on the game board and place it in the staging area on his player board.
16,"If an action triggers the award of victory points, those points are immediately recorded."
16,"Each settlement tile offers a benefit, additional actions, additional money, advancement on the turn order track, more goods tiles, die roll adjustment or victory points."
16,Bonus victory points are awarded for filling a region with settlement tiles.
16,The game ends after the fifth phase is played to completion.
16,"Victory points are awarded for unused money and workers, and undelivered goods."
16,Bonus victory points from certain settlement tiles are awarded at the end of the game.
16,The player with the most victory points wins.
16,The rules include basic and advanced versions.
16,This game is #14 in the Alea big box series.
16,There is a separate BGG entry for the 2019 edition: The Castles of Burgundy.
16,"The 2019 edition includes, alongside the base game, eight expansions, seven of which had already been released separately as promotional items and one new to the 2019 release."
17,Playing Nemesis will take you into the heart of sci-fi survival horror in all its terror.
17,"A soldier fires blindly down a corridor, trying to stop the alien advance."
17,A scientist races to find a solution in his makeshift lab.
17,A traitor steals the last escape pod in the very last moment.
17,Intruders you meet on the ship are not only reacting to the noise you make but also evolve as the time goes by.
17,"The longer the game takes, the stronger they become."
17,"During the game, you control one of the crew members with a unique set of skills, personal deck of cards, and individual starting equipment."
17,These heroes cover all your basic SF horror needs.
17,"For example, the scientist is great with computers and research, but will have a hard time in combat."
17,"The soldier, on the other hand..."
17,Nemesis is a semi-cooperative game in which you and your crewmates must survive on a ship infested with hostile organisms.
17,"To win the game, you have to complete one of the two objectives dealt to you at the start of the game and get back to Earth in one piece."
17,"You will find many obstacles on your way: swarms of Intruders (the name given to the alien organisms by the ship AI), the poor physical condition of the ship, agendas held by your fellow players, and sometimes just cruel fate."
17,"The gameplay of Nemesis is designed to be full of climactic moments which, hopefully, you will find rewarding even when your best plans are ruined and your character meets a terrible fate."
18,In many ways 7 Wonders Duel resembles its parent game 7 Wonders as over three ages players acquire cards that provide resources or advance their military or scientific development in order to develop a civilization and complete wonders.
18,"What's different about 7 Wonders Duel is that, as the title suggests, the game is solely for two players, with the players not drafting cards simultaneously from hands of cards, but from a display of face-down and face-up cards arranged at the start of a round."
18,"A player can take a card only if it's not covered by any others, so timing comes into play as well as bonus moves that allow you to take a second card immediately."
18,"As in the original game, each card that you acquire can be built, discarded for coins, or used to construct a wonder."
18,"Each player starts with four wonder cards, and the construction of a wonder provides its owner with a special ability."
18,"Only seven wonders can be built, though, so one player will end up short."
18,"Players can purchase resources at any time from the bank, or they can gain cards during the game that provide them with resources for future building; as you acquire resources, the cost for those particular resources increases for your opponent, representing your dominance in this area."
18,"A player can win 7 Wonders Duel in one of three ways: each time you acquire a military card, you advance the military marker toward your opponent's capital, giving you a bonus at certain positions; if you reach the opponent's capital, you win the game immediately; similarly, if you acquire any six of seven different scientific symbols, you achieve scientific dominance and win immediately; if none of these situations occurs, then the player with the most points at the end of the game wins."
19,Brass: Lancashire — first published as Brass — is an economic strategy game that tells the story of competing cotton entrepreneurs in Lancashire during the industrial revolution.
19,"You must develop, build, and establish your industries and network so that you can capitalize demand for iron, coal and cotton."
19,The game is played over two halves: the canal phase and the rail phase.
19,"To win the game, score the most victory points (VPs), which are counted at the end of each half."
19,"VPs are gained from your canals, rails, and established (flipped) industry tiles."
19,"Each round, players take turns according to the turn order track, receiving two actions to perform any of the following:

Build an industry tile
Build a rail or canal
Develop an industry
Sell cotton
Take a loan

At the end of a player's turn, they replace the two cards they played with two more from the deck."
19,"Turn order is determined by how much money a player spent on the previous turn, from lowest spent first to highest spent."
19,"This turn order mechanism opens some strategic options for players going later in the turn order, allowing for the possibility of back-to-back turns."
19,"After all the cards have been played the first time (with the deck size being adjusted for the number of players), the canal phase ends and a scoring round commences."
19,"After scoring, all canals and all of the lowest level industries are removed for the game, after which new cards are dealt and the rail phase begins."
19,"During this phase, players may now occupy more than one location in a city and a double-connection build (though expensive) is possible."
19,"At the end of the rail phase, another scoring round takes place, then a winner is crowned."
19,"The cards limit where you can build your industries, but any card can be used for the develop, sell cotton or build connections actions."
19,This leads to a strategic timing/storing of cards.
19,"Resources are common so that if one player builds a rail line (which requires coal) they have to use the coal from the nearest source, which may be an opponent's coal mine, which in turn gets that coal mine closer to scoring (i.e., being utilized)."
19,"Brass: Lancashire, the 2018 edition from Roxley Games, reboots the original Warfrog Games edition of Brass with new artwork and components, as well as a few rules changes:

 The virtual link rules between Birkenhead have been made optional."
19,The three-player experience has been brought closer to the ideal experience of four players by shortening each half of the game by one round and tuning the deck and distant market tiles slightly to ensure a consistent experience.
19,Two-player rules have been created and are playable without the need for an alternate board.
19,The level 1 cotton mill is now worth 5 VP to make it slightly less terrible.
20,"Two thousand years ago, the Roman Empire ruled the lands around the Mediterranean Sea."
20,"With peace at the borders, harmony inside the provinces, uniform law, and a common currency, the economy thrived and gave rise to mighty Roman dynasties as they expanded throughout the numerous cities."
20,Guide one of these dynasties and send colonists to the remote realms of the Empire; develop your trade network; and appease the ancient gods for their favor — all to gain the chance to emerge victorious!
